날짜,제목
2022-12-01,차량번호 변경 요청드립니다.
2022-12-01,차량번호변경
2022-12-01,차량정보 변경요청
2022-12-01,차량 모델 문의
2022-12-01,차량번호변경
2022-12-01,카드 발급
2022-12-01,차량번호 등록 요청 드립니다.
2022-11-30,충전요금이 이상하게 나왔습니다.
2022-11-30,차량번호 변경요청의 건
2022-11-30,차종문의
2022-11-30,결제카드 등록요청
2022-11-30,해피차처 완속충전기에서 회원카드로 사용하는방법
2022-11-30,차량번호 등록
2022-11-30,임시번호 변경 요청
2022-11-30,환경부카드 배송된다고하는데 언제오나요?
2022-11-30,카드문의
2022-11-30,카드인식실패
2022-11-30,차량 번호등록 요청
2022-11-30,환경부 전기차 충전소 공공충전시설 고장 현황 자료
2022-11-29,"11838,11839 해결 됐습니다. 그런데 글쓰기 후 수정이나 삭제가 왜 안되는지요??"
2022-11-29,충전했는데 결제되지 않음
2022-11-29,환경부 충전기 사용내역.
2022-11-29,자동차 번호 잘못 등록
2022-11-29,회원 카드 인식 실패 문의
2022-11-29,충전카드 비용청구 방법 문의
2022-11-29,차량 번호 등록 요청
2022-11-29,차량번호 및 결제카드 등록요청
2022-11-29,차량번호 변경 및 결제카드 등록 허용요청
2022-11-29,결제실패 관련
2022-11-29,전기차 회원카드 배송 등기번호를 알고 싶습니다.
2022-11-29,차량번호 등록 요청
2022-11-29,차량번호 등록 요청
2022-11-29,환경부 카드와 충전기의 인식문제
2022-11-28,과태료 신고법이 있기나 하나요?
2022-11-28,카드비밀번호
2022-11-28,차량 번호 변경 요청
2022-11-28,차량번호 변경 요청건
2022-11-28,이용요금 명세서 조회관련
2022-11-28,차량번호 변경 요청건
2022-11-28,카드결제 관련
2022-11-28,카드 인식(인증) 안됨
2022-11-28,기존 카드 삭제 방법 문의
2022-11-28,법인 결제 카드 등록
2022-11-28,차량번호 변경 요청
2022-11-28,차량 번호 등록 및 결제 카드 등록
2022-11-27,공공충전인프라 카드 등록시 유효기간 오류
2022-11-27,카드 수령가능 일자
2022-11-27,차량번호 변경 요청건
2022-11-27,충전 카드 발급 후 결제카드 등록 하려는데 카드 번호 안뜸.. 차량 등록 하려 하는데 어디서 하는지.. ?
2022-11-26,차량번호(유호) 변경 신청
2022-11-26,카드 분실했습니다. 정보 삭제 부탁드립니다.
2022-11-26,충전 카드 발급이 어느정도 된것인지 문의드립니다.
2022-11-26,환경부 멤버십카드 2개 분실 및 신규 신청
2022-11-26,차량번호 수정 부탁드립니다
2022-11-26,차량번호 변경 부탁드립니다
2022-11-26,충전 금액 결재
2022-11-26,차량번호 등록 부탁드립니다.
2022-11-26,차량번호수정부탁드립니다.
2022-11-26,한국전력 충전기 이용시 등록된 회원이 아니라고 나옵니다.
2022-11-25,차량번호 변경 문의
2022-11-25,영수증 언제쯤 등록되나요
2022-11-25,회원카드 못받았는데 발급완료라고 떠요
2022-11-25,회원카드 배송문의?되나요?
2022-11-25,카드발급 후 결제카드 등록 문의드립니다.
2022-11-25,차량 등록문의
2022-11-25,차량번호 수정 부탁드립니다
2022-11-25,충전기 현황 (ev.or.kr/evmonitor) data 업데이트 요청
2022-11-25,완속 충전기에 사용된 환경부 회원카드 결제 요금
2022-11-25,결제오류 금액 결제 부탁드립니다.
2022-11-24,차량번호 변경요청
2022-11-24,차량번호 등록 부탁드립니다.
2022-11-24,카드비밀번호 오류횟수추가 어떻게 해결하나요?
2022-11-24,비밀번호 오류횟수추가 어떻게 해결하나요?
2022-11-24,회원카드의 차량번호 변경해주세요
2022-11-24,차량번호변경 요청드립니다.
2022-11-24,결재카드를 등록하면 되나요 회원카드번호
2022-11-24,차량번호변경 요청드립니다.
2022-11-24,차량번호 변경
2022-11-24,차량번호 변경 부탁드립니다
2022-11-24,차량번호 변경 부탁드립니다.
2022-11-24,회원가입 정보 관련 문의드립니다.
2022-11-24,차량번호 변경 요청
2022-11-24,"카드발급 신청했는데 수령은 언제쯤 가능할까요? 계속 ""접수"" 상태입니다."
2022-11-23,결제카드 등록 했는데 다른 카드로 계속 결제되고 있습니다.
2022-11-23,카드 수령후 결제 카드 등록 창에서 카드가 없느걸로 나옵니다.
2022-11-23,카드 수령후 결제 카드 등록법
2022-11-23,차량번호 변경 부탁드립니다
2022-11-23,타기관 충전이력 메세지 관련하여
2022-11-23,차량번호 변경 요청드립니다.
2022-11-23,카드수령문의
2022-11-23,차량번호 변경 요청드립니다.
2022-11-23,차량번호 변경요청드립니다 등록
2022-11-23,차량번호 변경요망
2022-11-23,차량번호 변경 요청드립니다
2022-11-23,회원카드 신청했는데 아직 접수완료가 안되네요
2022-11-23,차량번호 변경 요청드립니다.
2022-11-22,차량 번호 변경 요청 드립니다.
2022-11-22,회원카드 신청했는데 아직 접수 완료도 안됐어요. 언제 발급 되나요?
2022-11-22,아이디연동문의요
2022-11-22,2로 시작하는 환경부 회원카드의 완속 충전기 이용 불가 이슈를 확인해 주세요.
2022-11-22,"법인계정 로그인을 만들던지, 기존 발급 받은 카드 결제 및 사용자 변경을 만들던지 해주세요."
2022-11-22,차량번호 요청부탁드립니다.
2022-11-22,회원카드 번호 조회가 되지 않습니다. 결재카드 추가로 변경해서 등록하려 했더니 홈페이지에서 나타나지 않습니다.
2022-11-22,차량번호 변경요청드립니다.
2022-11-22,차량번호 변경 및 결재카드 등록
2022-11-21,차량번호 변경 및 결제카드 등록
2022-11-21,차량번호 변경신청드립니다!
2022-11-21,차량번호 변경 요청
2022-11-21,회원카드 차량번호 변경 요청
2022-11-21,회원카드 차량번호 변경
2022-11-21,회원카드 차량정보번경
2022-11-21,현장에서 신용카드 결제를 했는데 영수증이나 명세서를 확인할 수 있을까요?
2022-11-21,차량번호 변경신청
2022-11-21,전기차 회원카드 배송 문의
2022-11-21,차량번호 변경 요청
2022-11-21,결제카드 변경 관련 카드 확인요
2022-11-21,환경부 전기차 카드 충전소 관련
2022-11-21,한전충전기 회원 인증 안됨
2022-11-21,차량번호
2022-11-21,결제카드 오류로 결제가 되지 않았습니다.
2022-11-21,결제카드결제등록오류
2022-11-21,결제카드 변경했는데 이전카드로 결제가 되네요
2022-11-20,차량번호 변경 요청
2022-11-20,전기차 충전오류. <등록된 회원이 없습니다.>
2022-11-19,차량번호 변경 요청
2022-11-19,충전용 카드발급 신청 문의드립니다.
2022-11-18,차량번호 변경 부탁드립니다.
2022-11-18,차량번호 수정 요청 건
2022-11-18,차량번호 변경 바랍니다.
2022-11-18,차량번호 변경요청합니다.
2022-11-18,차량번호 변경 요청
2022-11-18,차량번호 수정부탁드립니다.
2022-11-18,차량번호 변경 요청드립니다.
2022-11-18,차량번호 수정 부탁드리겠습니다.
2022-11-18,차량변호 변경요청
2022-11-18,카드 발급 기간 문의
2022-11-18,차량 소유자 변경에 따른 카드 사용 문의
2022-11-18,차량번호 수정요청
2022-11-18,환경부 카드 받았는데
2022-11-17,환경부에서 이중 결제되는건 뭔가요?
2022-11-17,차량번호 변경 요청드립니다.
2022-11-17,차량번호 변경요청
2022-11-17,차량 번호 수정 요청
2022-11-17,차량번호 수정 요청드립니다
2022-11-17,전국 무공해차충전소 운영현황 지도 문의
2022-11-17,법인사용자 등록 변경
2022-11-17,차량번호 변경 요청
2022-11-17,"카드 받은적이 없는데, 등기로 발송완료로 조회가 됩니다."
2022-11-16,카드접수
2022-11-16,회원카드를 언제쯤 받을 수 있을까요?
2022-11-16,카드를 언제쯤 받을 수 있을까요?
2022-11-16,차량번호 수정요청
2022-11-16,차량번호 변경 요청
2022-11-16,차량번호 변경 요청
2022-11-16,전기차량 교체시 기존카드는 변경하나요?
2022-11-16,전기차없이 카드발급 및 사용 가능한가요?
2022-11-16,회원카드는 언제 나오나요?
2022-11-16,안녕하세요.
2022-11-16,핸드폰번호 변경 문의
2022-11-16,결제오류
2022-11-16,문의드립니다.
2022-11-16,차량번호 수정요청
2022-11-16,차량 번호 변경 요청
2022-11-15,차량 번호 수정 요청(차량 교체)
2022-11-15,회원카드 차량번호 변경요청
2022-11-15,전기차 등록차량 변경 문의 드립니다.
2022-11-15,차량번호 변경 요청드립니다
2022-11-15,법인카드관련
2022-11-15,카드신청문의
2022-11-15,차량 판매후 신차구매로 차량번호 교환 요청
2022-11-15,차량번호 수정 요청
2022-11-15,청평면사무소 충전기 고장수리 접수건
2022-11-15,카드 분실에 따른 재발급 관련
2022-11-15,충전카드 발급 신청해서 발급 완료라고 되어 있는데요 아직 카드를 못받았어요
2022-11-14,회원카드 발송
2022-11-14,전기차가 없어도 카드 발급이 되나요??
2022-11-14,차량등록 번호 수정요청
2022-11-14,받은 적이 없는데 발급완료라고 나옵니다
2022-11-14,아이디연동문의요
2022-11-14,"카드는 발급받았는데, 사용등록은 어떻게 하는건가요?"
2022-11-13,결제카드 변경
2022-11-12,환경부카드
2022-11-12,차량 번호 변경 부탁드립니다.
2022-11-11,차량번호 변경
2022-11-11,카드 일괄등록
2022-11-11,카드 일괄등록
2022-11-11,신차가 나와서 등록
2022-11-11,정보 및 등록변경요청
2022-11-11,차량번호 수정요청드립니다
2022-11-11,차량 번호 변경요청
2022-11-11,차량번호 삭제관련
2022-11-11,결제 카드 등록이 안되네요
2022-11-11,차량등록번호 변경 요청드립니다
2022-11-11,차량등록번호 변경
2022-11-11,등록 차량 번호 변경 문의
2022-11-11,차량번호 변경 요청
2022-11-11,회원등록이 안되었다고
2022-11-11,차량번호 변경요청
2022-11-10,충전기고장 수리인력 충원
2022-11-10,회원카드는 언제쯤...
2022-11-10,차량번호 변경 요청드려요~
2022-11-10,회원카드 번호 변경
2022-11-10,회원등록이 안되었다고 나옵니다.
2022-11-10,회원카드 차량번호 변경 요청
2022-11-10,결제카드등록
2022-11-10,환경부 카드 차량번호 변경 요청합니다
2022-11-10,안녕하세요
2022-11-09,회원카드 차량번호 변경 요청
2022-11-09,회원카드 차량번호 변경 요청
2022-11-09,결제수단이 신용카드외 다른방법있나요?
2022-11-09,멤버십카드를신청하고 받았는데 카드등록은 어떻게하나요?
2022-11-09,회원카드 발급 후 취소 문의
2022-11-09,카드등록에서 비밀번호
2022-11-09,충전후 내역 문자서비스 전화번호 변경
2022-11-09,결제 승인 취소 및 재승인 요청 (추가)
2022-11-09,결제카드 등록후 포인트결제 등록 시 오류
2022-11-09,카드등록이 안됩니다.
2022-11-08,회원카드 차량번호 변경 요청 드립니다.
2022-11-08,카드 재발급 후 인식안됨
2022-11-08,회원카드결제시 카드에 등록된 차량만 결제가 가능한가요?
2022-11-08,결제카드 만기로 인한 재발급시 어떻게 해야하나여?
2022-11-08,회원카드 차량번호 변경 요청
2022-11-08,회원카드 차량번호 변경 등록 요청건
2022-11-07,결제 승인 취소 및 재승인 요청 (결제 카드 변경)
2022-11-07,회원카드 차량번호 변경
2022-11-07,플러그인 하이브리드 차량 회원카드 발급 관련
2022-11-07,법인카드 등록관련 문의
2022-11-07,등록된 회원이 없다고 뜹니다.
2022-11-07,카드발송이 언제쯤되나요
2022-11-07,카드 발송은 언제 되나요.
2022-11-07,차량 번호 변경 요청드립니다.
2022-11-07,플러그인하이브리드 지원
2022-11-07,차량번호 변경 부탁드리겠습니다
2022-11-07,카드 분실 재발급신청
2022-11-06,카드를 여러개 사용하고싶습니다.
2022-11-06,카드 등록이 안되어있다고 합니다.
2022-11-06,차량번호 변경 요청드립니다
2022-11-06,카드 인식 실패문의
2022-11-06,카드 분실하여 재신청합니다.
2022-11-06,차량번호 변경 요청 합니다. (결제카드 관리 안뜸)
2022-11-06,차량번호 변경요청
2022-11-05,차량번호 변경 요청드립니다.
2022-11-05,사업용 전기충전카드
2022-11-05,카드 신청후 카드번호까지 발급받았는데 등기배송은 언제되나요?
2022-11-05,환경부 카드 사용 충전 기록
2022-11-05,차량번호 변경신청
2022-11-05,차령 번호 변경 부특디립니다.
2022-11-04,카드 발급 현황 문의
2022-11-04,차량번호 변경 및 결제카드 등록 오류(결제카드 등록 페이지에 발급받은 카드가 안뜹니다)
2022-11-04,멤버십카드 질문
2022-11-04,멤버십카드 질문
2022-11-04,차량번호 변경신청
2022-11-04,차량번호 신청 합니다
2022-11-04,기존차량에서 신규차량으로 변경시 환경부카드 사용방법???
2022-11-04,충전카드에 등록되어있는 결제카드의 분실로 인한 전기충전료 납부(승인 거절 문자를 받음)
2022-11-04,차량번호 변경신청
2022-11-04,충전카드 발급 현황
2022-11-04,차량번호 등록의 건
2022-11-03,차량번호 변경드립니다.
2022-11-03,차량번호 변경 신청합니다.
2022-11-03,차량번호 변경 신청 합니다
2022-11-03,차량번호 변경 신청합니다.
2022-11-03,차량번호 변경 신청 합니다
2022-11-03,카드 결재일은 언제인지?
2022-11-03,법인 카드 변경 관련하여 문의 드립니다.
2022-11-03,회원카드 신청했는데 언제 받을 수 있는지 궁금합니다.
2022-11-03,차량번호 변경 부탁드립니다
2022-11-03,결제 문의
2022-11-03,타기관충전내역
2022-11-03,문의드립니다. 지원충전기 관련
2022-11-03,차량번호 변경 요청드립니다.
2022-11-03,환경부 카드 도대체 언제 오나요?
2022-11-03,EVPay
2022-11-03,결제카드등록 진행안됨
2022-11-03,카드 발급 받고 타사 충전기에서 충전이 안되요
2022-11-03,카드를 받았는데 완충 기계에서는 안되요~
2022-11-03,카드 발송은 언제 되나요.
2022-11-02,차량번호 변경 요청 드립니다.
2022-11-02,환경부 카드 발급 문의
2022-11-02,차량 번호 변경 요청드립니다.
2022-11-02,결제 카드 변경
2022-11-02,자동차 번호 변경 요청
2022-11-02,의무구매임차제 승인요청
2022-11-02,차량번호 변경 요청
2022-11-02,차량 번호 변경 요청
2022-11-02,수소차 충전소 api 제공여부
2022-11-02,전기차 충전소 중 일부만 사용 가능한지 문의드립니다.
2022-11-02,플러그하이브리드 차량 충전카드 발급 건
2022-11-02,의무구매임차제 관리자승인
2022-11-01,"카드 발급 신청 관련 질문 (신청후 차량번호 변경, 발급기간)"
2022-11-01,카드 등록 문의 드립니다.
